score,n_comps,wm_task
,0,0bk
,0,0bk
,0,0bk
,0,0bk
,0,0bk
,0,0bk
,0,0bk
,0,0bk
35.88235294117647,1,0bk
34.705882352941174,1,0bk
34.705882352941174,1,0bk
38.23529411764706,1,0bk
31.952662721893493,1,0bk
30.17751479289941,1,0bk
35.50295857988166,1,0bk
33.72781065088758,1,0bk
35.294117647058826,2,0bk
35.88235294117647,2,0bk
38.23529411764706,2,0bk
36.470588235294116,2,0bk
36.09467455621302,2,0bk
35.50295857988166,2,0bk
37.8698224852071,2,0bk
39.053254437869825,2,0bk
50.0,3,0bk
42.35294117647059,3,0bk
45.88235294117647,3,0bk
45.88235294117647,3,0bk
46.74556213017752,3,0bk
53.84615384615385,3,0bk
38.46153846153847,3,0bk
45.562130177514796,3,0bk
62.35294117647059,4,0bk
67.05882352941175,4,0bk
63.52941176470588,4,0bk
54.70588235294118,4,0bk
65.08875739644971,4,0bk
58.57988165680473,4,0bk
66.86390532544378,4,0bk
69.23076923076923,4,0bk
60.0,5,0bk
59.411764705882355,5,0bk
61.1764705882353,5,0bk
69.41176470588235,5,0bk
75.7396449704142,5,0bk
70.41420118343196,5,0bk
65.08875739644971,5,0bk
66.86390532544378,5,0bk
70.58823529411765,6,0bk
68.23529411764706,6,0bk
64.70588235294117,6,0bk
72.35294117647058,6,0bk
73.37278106508876,6,0bk
66.86390532544378,6,0bk
70.41420118343196,6,0bk
70.41420118343196,6,0bk
64.11764705882354,7,0bk
75.29411764705883,7,0bk
68.23529411764706,7,0bk
76.47058823529412,7,0bk
79.28994082840237,7,0bk
71.59763313609467,7,0bk
72.7810650887574,7,0bk
69.8224852071006,7,0bk
81.76470588235294,8,0bk
82.94117647058825,8,0bk
81.76470588235294,8,0bk
86.47058823529412,8,0bk
84.02366863905326,8,0bk
81.65680473372781,8,0bk
81.06508875739645,8,0bk
87.57396449704143,8,0bk
90.58823529411765,9,0bk
88.8235294117647,9,0bk
91.17647058823529,9,0bk
90.58823529411765,9,0bk
85.20710059171599,9,0bk
87.57396449704143,9,0bk
86.98224852071006,9,0bk
89.3491124260355,9,0bk
84.70588235294117,10,0bk
91.76470588235294,10,0bk
91.76470588235294,10,0bk
88.8235294117647,10,0bk
87.57396449704143,10,0bk
89.3491124260355,10,0bk
86.98224852071006,10,0bk
91.12426035502959,10,0bk
87.6470588235294,11,0bk
86.47058823529412,11,0bk
91.76470588235294,11,0bk
89.41176470588236,11,0bk
87.57396449704143,11,0bk
91.12426035502959,11,0bk
90.53254437869822,11,0bk
88.75739644970415,11,0bk
85.88235294117646,12,0bk
87.6470588235294,12,0bk
89.41176470588236,12,0bk
90.58823529411765,12,0bk
91.71597633136095,12,0bk
89.3491124260355,12,0bk
90.53254437869822,12,0bk
88.75739644970415,12,0bk
92.94117647058823,13,0bk
89.41176470588236,13,0bk
91.17647058823529,13,0bk
88.23529411764706,13,0bk
91.12426035502959,13,0bk
91.71597633136095,13,0bk
86.98224852071006,13,0bk
88.75739644970415,13,0bk
87.6470588235294,14,0bk
87.05882352941177,14,0bk
90.0,14,0bk
88.23529411764706,14,0bk
92.3076923076923,14,0bk
91.12426035502959,14,0bk
93.49112426035504,14,0bk
85.79881656804734,14,0bk
91.17647058823529,15,0bk
92.3529411764706,15,0bk
90.0,15,0bk
89.41176470588236,15,0bk
88.75739644970415,15,0bk
86.98224852071006,15,0bk
88.75739644970415,15,0bk
91.12426035502959,15,0bk
87.6470588235294,16,0bk
87.6470588235294,16,0bk
88.23529411764706,16,0bk
91.17647058823529,16,0bk
89.94082840236686,16,0bk
91.71597633136095,16,0bk
90.53254437869822,16,0bk
91.12426035502959,16,0bk
91.17647058823529,17,0bk
91.17647058823529,17,0bk
90.58823529411765,17,0bk
88.23529411764706,17,0bk
86.98224852071006,17,0bk
91.71597633136095,17,0bk
88.75739644970415,17,0bk
92.89940828402366,17,0bk
91.17647058823529,18,0bk
92.3529411764706,18,0bk
89.41176470588236,18,0bk
91.76470588235294,18,0bk
91.12426035502959,18,0bk
88.16568047337277,18,0bk
88.75739644970415,18,0bk
91.12426035502959,18,0bk
91.76470588235294,19,0bk
88.23529411764706,19,0bk
88.8235294117647,19,0bk
92.94117647058823,19,0bk
90.53254437869822,19,0bk
94.0828402366864,19,0bk
90.53254437869822,19,0bk
95.85798816568047,19,0bk
93.52941176470588,20,0bk
91.76470588235294,20,0bk
94.11764705882352,20,0bk
96.47058823529412,20,0bk
92.3076923076923,20,0bk
90.53254437869822,20,0bk
91.12426035502959,20,0bk
92.3076923076923,20,0bk
95.29411764705881,21,0bk
88.8235294117647,21,0bk
91.17647058823529,21,0bk
94.70588235294117,21,0bk
92.89940828402366,21,0bk
93.49112426035504,21,0bk
92.89940828402366,21,0bk
91.12426035502959,21,0bk
94.70588235294117,22,0bk
93.52941176470588,22,0bk
91.17647058823529,22,0bk
92.3529411764706,22,0bk
94.67455621301775,22,0bk
94.0828402366864,22,0bk
92.3076923076923,22,0bk
90.53254437869822,22,0bk
90.58823529411765,23,0bk
95.29411764705881,23,0bk
93.52941176470588,23,0bk
89.41176470588236,23,0bk
94.67455621301775,23,0bk
93.49112426035504,23,0bk
91.71597633136095,23,0bk
96.44970414201184,23,0bk
91.17647058823529,24,0bk
94.11764705882352,24,0bk
92.94117647058823,24,0bk
91.17647058823529,24,0bk
92.89940828402366,24,0bk
92.89940828402366,24,0bk
94.67455621301775,24,0bk
94.67455621301775,24,0bk
92.94117647058823,25,0bk
91.76470588235294,25,0bk
92.94117647058823,25,0bk
95.29411764705881,25,0bk
92.89940828402366,25,0bk
92.89940828402366,25,0bk
92.89940828402366,25,0bk
92.89940828402366,25,0bk
96.47058823529412,26,0bk
93.52941176470588,26,0bk
90.0,26,0bk
96.47058823529412,26,0bk
94.0828402366864,26,0bk
94.67455621301775,26,0bk
91.12426035502959,26,0bk
91.12426035502959,26,0bk
94.70588235294117,27,0bk
93.52941176470588,27,0bk
87.05882352941177,27,0bk
94.70588235294117,27,0bk
97.63313609467455,27,0bk
91.12426035502959,27,0bk
93.49112426035504,27,0bk
95.26627218934911,27,0bk
92.3529411764706,28,0bk
94.11764705882352,28,0bk
92.94117647058823,28,0bk
95.29411764705881,28,0bk
91.71597633136095,28,0bk
92.89940828402366,28,0bk
92.89940828402366,28,0bk
94.67455621301775,28,0bk
92.94117647058823,29,0bk
95.88235294117648,29,0bk
93.52941176470588,29,0bk
93.52941176470588,29,0bk
93.49112426035504,29,0bk
92.3076923076923,29,0bk
92.3076923076923,29,0bk
94.0828402366864,29,0bk
92.94117647058823,30,0bk
90.58823529411765,30,0bk
92.3529411764706,30,0bk
97.05882352941177,30,0bk
95.26627218934911,30,0bk
94.67455621301775,30,0bk
91.71597633136095,30,0bk
95.26627218934911,30,0bk
95.29411764705881,31,0bk
98.23529411764706,31,0bk
91.17647058823529,31,0bk
92.94117647058823,31,0bk
92.3076923076923,31,0bk
91.71597633136095,31,0bk
95.26627218934911,31,0bk
95.85798816568047,31,0bk
92.3529411764706,32,0bk
95.29411764705881,32,0bk
90.0,32,0bk
92.94117647058823,32,0bk
94.0828402366864,32,0bk
94.67455621301775,32,0bk
96.44970414201184,32,0bk
94.67455621301775,32,0bk
94.70588235294117,33,0bk
92.3529411764706,33,0bk
94.11764705882352,33,0bk
91.17647058823529,33,0bk
94.67455621301775,33,0bk
94.67455621301775,33,0bk
94.0828402366864,33,0bk
92.89940828402366,33,0bk
94.70588235294117,34,0bk
92.94117647058823,34,0bk
94.11764705882352,34,0bk
94.11764705882352,34,0bk
94.67455621301775,34,0bk
