,b2f,b2p,b2t,f2p,f2t,p2t
0,0.05317821864784657,0.124503394800791,0.03253850828786877,0.04642108471000004,0.05856562207876302,0.030750603946387314
1,0.060121708199819046,0.03336417347122049,0.04673254107481968,0.058346195491279305,0.10668355150117254,0.0898280904093806
2,0.11663234748417597,0.11862570267042909,0.09803815948386231,0.17360113257412801,0.10199149683213468,0.08928484905375515
3,0.1907955957638348,0.20674723856162472,0.16384906082916606,0.17679077623105136,0.12471553937726235,0.1502652236068357
4,0.11389650840693691,0.09436230945727575,0.053965965869702266,0.13987922436431968,0.05336680070896128,0.05000580687134675
5,0.0775959136884556,0.05585940464958299,0.10268248991336655,0.11664430036097767,0.05568926753148099,0.04355060703527474
6,0.11455391804835943,0.10691476621602922,0.07122076025417128,0.09786323989490466,0.06851125621263426,0.08653176281861862
7,0.08590062563375819,0.10288137381665559,0.1097352978469656,0.05647330991768856,0.06890956945601366,0.09077041308497753
8,0.12729230436026465,0.1033733753534417,0.09998758148455271,0.09602473988835929,0.08460057215456412,0.08504037973837286
9,0.09304952410726983,0.11925488640318539,0.09951247445067579,0.089344058811895,0.08161006685354173,0.0982431984509197
10,0.1264074432510416,0.09548466952457829,0.10790778782041631,0.09114597814253302,0.1137093168915979,0.13344903448773998
11,0.09274978637428448,0.08289997859992077,0.11903001689936192,0.18753338079476778,0.12194868301907208,0.1090316996776681
12,0.13902519947543646,0.15204475992254415,0.13552614830748713,0.10071794575663265,0.11481970818871598,0.11871592547775119
13,0.161668231092707,0.12848986078683555,0.07444925161508786,0.12285571272309836,0.06408565352986852,0.0760622719224094
14,0.08685374317624467,0.07519932379772706,0.07423151984419728,0.07931280660705806,0.07851418121499977,0.16855264160977926
15,0.13029326597822796,0.10702064129651484,0.06512901680302585,0.08591955133163634,0.06367610903639484,0.05658104417320382
16,0.16492252496008747,0.10990878934929595,0.09406178521955551,0.10225062967855153,0.08625170239299995,0.1393142226324452
17,0.1240799420221281,0.11799874899988093,0.08806429593488331,0.15284916061946102,0.11736436367754692,0.13535181184959796
18,0.05732855455582909,0.05723299330591909,0.07111834376421841,0.19412830342932366,0.10304983416129548,0.0923480824571721
19,0.14429236425419026,0.14142278425571042,0.08963796049722167,0.12889774703415618,0.08148680522034041,0.08766190969298275
20,0.16333449601437505,0.1365750999077163,0.16845867046763094,0.09952543734810289,0.11790036491171621,0.16294590708442416
21,0.08768502141440017,0.07428378453229696,0.07302930435443308,0.11412232662866513,0.10489733804579376,0.13247296393375282
22,0.11265934311948944,0.14958304960644997,0.09519721327449165,0.10412119563137827,0.09596443231981308,0.10402060143999425
23,0.10629161438064613,0.10156938912329581,0.04247409000850624,0.16177690321551544,0.034872904544272505,0.036318907134584896
24,0.14492881495053725,0.12926931737855726,0.14388160605817302,0.1472576534402554,0.1731194711646065,0.14495633880394337
25,0.11133586418193436,0.10142457379512361,0.06933206431425287,0.09322819185371928,0.10057058679591417,0.0605626320138955
26,0.06822797993678506,0.10696312963013643,0.07369767675392164,0.06243849531053481,0.0834505801188017,0.06488542376348952
27,0.03946193651625199,0.11791610371941358,0.13460104263249237,0.04392418536385403,0.040159168086707046,0.13341265320388104
28,0.0878193293116721,0.09136276828705425,0.1068118546554291,0.1018575269852056,0.11499017731049095,0.10354576466419975
29,0.031986236774304365,0.09406396077375948,0.11355187331447641,0.039721295813255175,0.033081923387578205,0.11289001669212081
30,0.06579158192744355,0.07350015383137944,0.07629172881985877,0.0819592571922181,0.05361108969217598,0.05857671178229899
31,0.1620802576962223,0.11547848666078475,0.11542042213937535,0.1220483977081619,0.11284137775665062,0.1525091291652057
32,0.08358316119141886,0.1386562656421362,0.06943121356363491,0.08647037812373318,0.11916808180955885,0.0724729524306339
33,0.08330199412471567,0.07244707663557465,0.06014450610404261,0.10613676146387377,0.08502613426974251,0.08812317697400938
34,0.07511467415307814,0.0880321418428525,0.0590211802881803,0.07539270017275004,0.051380790468101144,0.04680496664971027
35,0.1092982249747393,0.08374804314090258,0.08071639941112833,0.0896843372664031,0.08586417452998273,0.07891003159803472
36,0.10815723391265794,0.10482134415976892,0.10029975965233855,0.08460755118668555,0.11131010217464496,0.07638493949330462
37,0.058976749162795016,0.09168752608165089,0.09627470618506616,0.045309002563879236,0.05857971000891997,0.092082691827308
38,0.16503639276238044,0.1546748283128049,0.0799710206781686,0.1416694226594002,0.07516368415668018,0.0687096580977879
39,0.08684614279000602,0.15472366603118654,0.1399357032384367,0.07141454658686057,0.07074206360419502,0.16866236219482697
40,0.08486720840689047,0.07479193383857011,0.08751155274029554,0.1230640196310081,0.08876112238350078,0.11026394717847149
41,0.06965414856981732,0.125992423076913,0.05553169142422941,0.06358101695019229,0.0800480221746434,0.05520402891667191
42,0.05825364281223025,0.041547810080338796,0.17529110502862918,0.0919362750143023,0.052110711456903054,0.038378727523303686
43,0.09545625746033633,0.08531289229850074,0.09080305197559421,0.13838876222455457,0.08044869116805377,0.08159916590850777
44,0.11209704709666457,0.13767768401227345,0.1173638207152495,0.09579668623530205,0.12347547038570582,0.14085062746492477
45,0.08402558287529587,0.0669144530956724,0.07711982906515635,0.06848539627292903,0.07806427239021399,0.07871319538811455
46,0.08539143174632659,0.05314517308581959,0.07869578422625685,0.04836578422293205,0.11487895200791257,0.04904137216845847
47,0.08972130986997656,0.08380298055652848,0.058460056422119364,0.09141705382163523,0.06314308927982519,0.04458296789549474
48,0.06334659571619759,0.12951060771280998,0.05819271671813328,0.06089509243170036,0.07899092729003361,0.048251964182056066
49,0.11793270246767158,0.22370452145045633,0.15279925341042824,0.1055404817903405,0.15411389474431614,0.1365261265549119
50,0.09334761865578928,0.15508809997057682,0.15677914774927798,0.09545480920499254,0.08577012595133006,0.15170126232245532
